project,type,item,status,path,bytes
HPE,eval,student_nv_cross_subject_nonvisual_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\student_nv_cross_subject_nonvisual_combinations.csv,
HPE,eval,baseline_cross_subject_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\baseline_cross_subject_all_combinations.csv,
HAR,model,teacher_full/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\teacher_full\best.pth,166616948
HAR,model,student_vk_missing/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\student_vk_missing\best.pth,166617332
HAR,model,student_nv_missing/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\student_nv_missing\best.pth,137978531
HAR,model,ablation_no_distill/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\best.pth,166614708
HAR,model,ablation_uniform_fusion/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\best.pth,166614580
HAR,model,teacher_full_cross_scene/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\teacher_full_cross_scene\best.pth,166616948
HAR,model,student_vk_missing_cross_scene/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\student_vk_missing_cross_scene\best.pth,166617332
HAR,model,student_nv_missing_cross_scene/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\student_nv_missing_cross_scene\best.pth,137978531
HAR,model,teacher_full_cross_subject/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\teacher_full_cross_subject\best.pth,166617332
HAR,model,student_vk_missing_cross_subject/best.pth,MISSING_MODEL,E:\Deskbook\Tea\HAR\outputs\student_vk_missing_cross_subject\best.pth,
HAR,model,student_nv_missing_cross_subject/best.pth,DONE,E:\Deskbook\Tea\HAR\outputs\student_nv_missing_cross_subject\best.pth,137978595
HAR,eval,teacher_random_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\teacher_random_all_combinations.csv,1962
HAR,eval,student_vk_random_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_vk_random_all_combinations.csv,2130
HAR,eval,student_nv_random_nonvisual_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_nv_random_nonvisual_combinations.csv,1032
HAR,eval,all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\all_combinations.csv,1965
HAR,eval,student_vk_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_vk_all_combinations.csv,2130
HAR,eval,student_nv_nonvisual_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_nv_nonvisual_combinations.csv,1031
HAR,eval,ablation_no_distill_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,2051
HAR,eval,ablation_uniform_fusion_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\ablation_uniform_fusion_all_combinations.csv,2192
HAR,eval,teacher_cross_scene_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\teacher_cross_scene_all_combinations.csv,2041
HAR,eval,student_vk_cross_scene_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_vk_cross_scene_all_combinations.csv,2198
HAR,eval,student_nv_cross_scene_nonvisual_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_nv_cross_scene_nonvisual_combinations.csv,1064
HAR,eval,teacher_cross_subject_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\teacher_cross_subject_all_combinations.csv,2069
HAR,eval,student_vk_cross_subject_all_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_vk_cross_subject_all_combinations.csv,2233
HAR,eval,student_nv_cross_subject_nonvisual_combinations.csv,DONE,E:\Deskbook\Tea\HAR\outputs\eval\student_nv_cross_subject_nonvisual_combinations.csv,1076
